BioSample ID	Sample Type	Environment	Instruments
SAMN15921225	soil metagenome	temperate seminatural grassland	Illumina MiSeq, Sequel II
SAMN15921226	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
SAMN15921292	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921301	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921337	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921383	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921404	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921439	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921512	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921516	soil metagenome	temperate seminatural grassland	Illumina MiSeq, Sequel II
SAMN16575665	wastewater metagenome	wastewater	Illumina HiSeq 2500, MinION
SAMN17245392	metagenome	flooded rice paddy soil	Illumina MiSeq, PacBio RS II
SAMN22304449	clinical metagenome	wound	Illumina MiSeq, MinION
SAMN37739117	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN41816786	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816806	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816827	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816850	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816852	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816854	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816881	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816891	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334557	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334581	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN47504785	soil metagenome	ENVO:00005775	GridION, Illumina NovaSeq 6000
SAMEA116119868	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119892	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117831127	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831149	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831160	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831161	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831164	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6631726	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631738	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631760	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631810	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631819	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA7580825	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA7580831	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMN06649846	sediment metagenome	Gulf of Mexico marine sediment	Illumina MiSeq, Ion Torrent PGM, NextSeq 500, PacBio RS II
SAMN08456401	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456444	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456462	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456473	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN15921193	soil metagenome	temperate broadleaf & mixed forest	Illumina MiSeq, Sequel II
SAMN15921242	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921250	soil metagenome	montane shrubland	Illumina MiSeq, Sequel II
SAMN15921266	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921275	soil metagenome	mediterranean forest, woodland and scrub	Illumina MiSeq, Sequel II
SAMN15921283	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921298	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921307	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921364	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921376	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921387	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921405	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921409	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921448	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921469	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921479	soil metagenome	desert	Illumina MiSeq, Sequel II
SAMN15921482	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921483	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921498	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921501	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921502	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN16575658	wastewater metagenome	wastewater	Illumina HiSeq 2500, MinION
SAMN16575661	aquatic metagenome	surface water	Illumina HiSeq 2500, MinION
SAMN17245388	metagenome	flooded rice paddy soil	Illumina MiSeq, PacBio RS II
SAMN21442473	mollusc metagenome	Hydrothermal vent	Illumina HiSeq X, Illumina MiSeq, MinION
SAMN37739119	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN41816809	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816823	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816857	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816893	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334573	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMEA116119872	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119874	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119876	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119886	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119894	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117491905	wastewater metagenome	Sulfonamide resistance gene sul4 is hosted by common wastewater sludge bacteria and found in various newly described contexts and hosts including clinically relevant species	Illumina NovaSeq 6000, PacBio RS II
SAMEA117831151	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6126156	sediment metagenome	Seagrass associated sediment metagenomes	Illumina HiSeq 3000, Sequel
SAMEA6631733	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631757	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631771	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631773	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631797	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631821	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631827	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA7580826	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA7580833	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA7580837	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMN08456378	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456392	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456400	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN13443174	metagenome	Microalgal culture	Illumina MiSeq, MinION
SAMN15296135	Escherichia coli O157:H7 str. EDL933	irrigation water pre-enrichment spiked with ten fold dilutions of STEC EDL 933 O157:H7 Metagenome	GridION, Illumina MiSeq
SAMN15921175	soil metagenome	deserts and xeric shrublands	Illumina MiSeq, Sequel II
SAMN15921190	soil metagenome	subtropical shrubland	Illumina MiSeq, Sequel II
SAMN15921192	soil metagenome	deserts and xseric shrublands	Illumina MiSeq, Sequel II
SAMN15921198	soil metagenome	subtropical shrubland	Illumina MiSeq, Sequel II
SAMN15921227	soil metagenome	subtropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921231	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921279	soil metagenome	tropical seasonal forest/savanna	Illumina MiSeq, Sequel II
SAMN15921285	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921313	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921340	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921385	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921386	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921388	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921395	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921429	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921454	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921474	soil metagenome	subtropical coniferous forest	Illumina MiSeq, Sequel II
SAMN22304433	clinical metagenome	wound	Illumina MiSeq, MinION
SAMN41816803	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816815	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816818	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816840	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816866	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816868	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334583	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN46066753	sediment metagenome	river sediment	Illumina NovaSeq 6000, Sequel IIe
SAMN47891059	Kerria lacca	Reared on Flemingia semialata	Illumina NovaSeq 6000, PromethION
SAMEA116119890	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119902	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117831136	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831139	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831140	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831146	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831157	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6126155	sediment metagenome	Seagrass associated sediment metagenomes	Illumina HiSeq 3000, Sequel
SAMEA6631720	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631754	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631761	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631774	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631786	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631826	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA7580827	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMN06268365	hot springs metagenome	Yellowstone National Park, Wyoming, USA	Illumina HiSeq 2500, PacBio RS
SAMN08456375	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456452	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456461	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456467	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN13925168	wood decay metagenome	temperate mixed forest biome [ENVO:01000212]	Illumina HiSeq 2500, Illumina MiSeq, Sequel II
SAMN14593418	human oral metagenome	human-oral	Illumina MiSeq, MinION, NextSeq 500
SAMN15921178	soil metagenome	deserts and xeric shrublands	Illumina MiSeq, Sequel II
SAMN15921194	soil metagenome	deserts and xeric shrublands	Illumina MiSeq, Sequel II
SAMN15921230	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921270	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921277	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921280	soil metagenome	mountain	Illumina MiSeq, Sequel II
SAMN15921287	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921319	soil metagenome	tropical seasonal forest/savanna	Illumina MiSeq, Sequel II
SAMN15921331	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921334	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921342	soil metagenome	tropical seasonal forest/savanna	Illumina MiSeq, Sequel II
SAMN15921391	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921436	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921470	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921492	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921496	soil metagenome	desert	Illumina MiSeq, Sequel II
SAMN15921509	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN16795851	freshwater metagenome	terrestrial biome [ENVO:00000446]	GridION, Illumina NovaSeq 6000
SAMN17245390	metagenome	flooded rice paddy soil	Illumina MiSeq, PacBio RS II
SAMN17245395	metagenome	flooded rice paddy soil	Illumina MiSeq, PacBio RS II
SAMN22304430	clinical metagenome	wound	Illumina MiSeq, MinION
SAMN33571974	human feces metagenome	Quantifying bias introduced by sample collection in relative and absolute microbiome measurements	Illumina NovaSeq 6000, PromethION
SAMN33571992	human feces metagenome	Quantifying bias introduced by sample collection in relative and absolute microbiome measurements	Illumina NovaSeq 6000, PromethION
SAMN41816826	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816890	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334556	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334559	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334578	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMEA116119877	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119885	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117491911	wastewater metagenome	Sulfonamide resistance gene sul4 is hosted by common wastewater sludge bacteria and found in various newly described contexts and hosts including clinically relevant species	Illumina NovaSeq 6000, PacBio RS II
SAMEA117831125	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA118264915	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6631787	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631822	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631824	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA9943620	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMN08456376	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456383	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456387	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456393	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456446	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456471	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN14593424	human oral metagenome	human-oral	Illumina MiSeq, MinION, NextSeq 500
SAMN15921196	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921201	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
SAMN15921213	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921237	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921239	soil metagenome	subtropical dry broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921243	soil metagenome	temperate broadleaf & mixed forest	Illumina MiSeq, Sequel II
SAMN15921245	soil metagenome	tropical seasonal forest/savanna	Illumina MiSeq, Sequel II
SAMN15921251	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921256	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921259	soil metagenome	mountain	Illumina MiSeq, Sequel II
SAMN15921264	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921281	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921311	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921352	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921354	soil metagenome	montane shrubland	Illumina MiSeq, Sequel II
SAMN15921358	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921367	soil metagenome	temperate broadleaf & mixed forest	Illumina MiSeq, Sequel II
SAMN15921370	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921400	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921408	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921476	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921494	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921504	soil metagenome	tropical broadleaf forest	Illumina MiSeq, Sequel II
SAMN16575660	wastewater metagenome	wastewater	Illumina HiSeq 2500, MinION
SAMN16575667	aquatic metagenome	surface water	Illumina HiSeq 2500, MinION
SAMN16575668	aquatic metagenome	surface water	Illumina HiSeq 2500, MinION
SAMN37739130	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN41816804	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816817	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816824	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816837	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816875	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816892	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN47504789	soil metagenome	ENVO:00005775	GridION, Illumina NovaSeq 6000
SAMEA116119869	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119881	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119883	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117491913	wastewater metagenome	Sulfonamide resistance gene sul4 is hosted by common wastewater sludge bacteria and found in various newly described contexts and hosts including clinically relevant species	Illumina NovaSeq 6000, PacBio RS II
SAMEA117831132	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6126160	sediment metagenome	Seagrass associated sediment metagenomes	Illumina HiSeq 3000, Sequel
SAMEA6631718	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631762	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631767	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631833	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMN06267783	hypersaline lake metagenome	Hot Lake, Washington, USA	Illumina HiSeq 2500, PacBio RS
SAMN08456384	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456447	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456459	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN13925167	wood decay metagenome	temperate mixed forest biome [ENVO:01000212]	Illumina HiSeq 2500, Illumina MiSeq, Sequel II
SAMN14089885	crustacean metagenome	gill	Ion Torrent S5 XL, PacBio RS II
SAMN15921187	soil metagenome	subtropical shrubland	Illumina MiSeq, Sequel II
SAMN15921188	soil metagenome	temperate seminatural grassland	Illumina MiSeq, Sequel II
SAMN15921228	soil metagenome	tropical dry broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921233	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921236	soil metagenome	desert	Illumina MiSeq, Sequel II
SAMN15921276	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921297	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921302	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921338	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921359	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921365	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921372	soil metagenome	mountain	Illumina MiSeq, Sequel II
SAMN15921380	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921393	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921442	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921449	soil metagenome	montane shrubland	Illumina MiSeq, Sequel II
SAMN15921452	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921468	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921473	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921489	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921506	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN16575662	aquatic metagenome	surface water	Illumina HiSeq 2500, MinION
SAMN17245393	metagenome	flooded rice paddy soil	Illumina MiSeq, PacBio RS II
SAMN33571936	human feces metagenome	Quantifying bias introduced by sample collection in relative and absolute microbiome measurements	Illumina NovaSeq 6000, PromethION
SAMN41816789	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816794	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816831	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816842	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816855	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816880	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816889	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334566	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334572	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334589	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMEA116119891	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119898	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117831129	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831134	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831137	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
